name,Date,Open,High,Low,Close,Volume
archivo_combinado.csv,2024-09-10,0.003336,0.003412,0.003278,0.003398,106605050.8
archivo_combinado.csv,2024-09-11,0.003396,0.003405,0.003278,0.003361,106605050.8
archivo_combinado.csv,2024-09-12,0.003366,0.003424,0.003338,0.003424,104116449.0
archivo_combinado.csv,2024-09-13,0.003424,0.003486,0.003378,0.003439,99463056.0
archivo_combinado.csv,2024-09-14,0.003439,0.003451,0.003387,0.003433,86532970.0
archivo_combinado.csv,2024-09-15,0.003432,0.003465,0.003309,0.003322,93325055.0
archivo_combinado.csv,2024-09-16,0.003318,0.003337,0.003191,0.003221,106605050.8
archivo_combinado.csv,2024-09-17,0.003219,0.003265,0.003183,0.003226,104561397.0
archivo_combinado.csv,2024-09-18,0.003226,0.003324,0.003161,0.003322,106005476.0
archivo_combinado.csv,2024-09-01,0.1458,0.1462,0.1366,0.1383,20032139.0
archivo_combinado.csv,2024-09-02,0.1382,0.1469,0.1372,0.1458,21016231.0
archivo_combinado.csv,2024-09-03,0.1457,0.148,0.1352,0.1355,19074168.0
archivo_combinado.csv,2024-09-04,0.1356,0.1431,0.1293,0.1396,29353926.0
archivo_combinado.csv,2024-09-05,0.1396,0.1413,0.1332,0.1341,18545911.0
archivo_combinado.csv,2024-09-06,0.134,0.1384,0.1259,0.1299,38036937.0
archivo_combinado.csv,2024-09-07,0.1298,0.1346,0.1287,0.1318,16059641.0
archivo_combinado.csv,2024-09-08,0.1318,0.1383,0.1314,0.1364,15764120.0
archivo_combinado.csv,2024-09-09,0.1364,0.1451,0.136,0.1432,27748620.0
archivo_combinado.csv,2024-09-10,0.1431,0.1448,0.1395,0.1415,21993454.0
archivo_combinado.csv,2024-09-11,0.1415,0.1418,0.1329,0.1374,31352902.0
archivo_combinado.csv,2024-09-12,0.1375,0.1441,0.1372,0.144,26408068.0
archivo_combinado.csv,2024-09-13,0.144,0.1506,0.1429,0.1502,32482893.0
archivo_combinado.csv,2024-09-14,0.1503,0.1521,0.1474,0.1494,19876108.0
archivo_combinado.csv,2024-09-15,0.1494,0.1504,0.1411,0.1426,19019524.0
archivo_combinado.csv,2024-09-16,0.1425,0.1437,0.1369,0.1384,22372193.0
archivo_combinado.csv,2024-09-17,0.1383,0.1446,0.1368,0.1419,29449649.0
archivo_combinado.csv,2024-09-18,0.1418,0.1473,0.1344,0.1471,40972534.0
archivo_combinado.csv,2024-09-01,0.593,0.604,0.566,0.567,2731015.0
archivo_combinado.csv,2024-09-02,0.567,0.608,0.561,0.601,2482923.0
archivo_combinado.csv,2024-09-03,0.601,0.612,0.547,0.549,2419520.0
archivo_combinado.csv,2024-09-04,0.549,0.606,0.517,0.595,4334725.0
archivo_combinado.csv,2024-09-05,0.595,0.602,0.581,0.584,1987157.3
archivo_combinado.csv,2024-09-06,0.582,0.6,0.538,0.565,2472200.8
archivo_combinado.csv,2024-09-07,0.565,0.583,0.558,0.565,1796066.1
archivo_combinado.csv,2024-09-08,0.565,0.615,0.564,0.611,2759202.8
archivo_combinado.csv,2024-09-09,0.61,0.618,0.572,0.61,4388847.2
archivo_combinado.csv,2024-09-10,0.61,0.616,0.593,0.607,2687864.9
archivo_combinado.csv,2024-09-11,0.607,0.64,0.594,0.629,5187314.2
archivo_combinado.csv,2024-09-12,0.629,0.645,0.609,0.631,2706875.4
archivo_combinado.csv,2024-09-13,0.631,0.65,0.607,0.64,2567456.0
archivo_combinado.csv,2024-09-14,0.64,0.645,0.606,0.622,2188199.9
archivo_combinado.csv,2024-09-15,0.622,0.631,0.593,0.6,1727727.7
archivo_combinado.csv,2024-09-16,0.6,0.603,0.593,0.597,1576540.2
archivo_combinado.csv,2024-09-17,0.597,0.615,0.594,0.609,2027550.9
archivo_combinado.csv,2024-09-18,0.608,0.626,0.595,0.625,1930223.0
archivo_combinado.csv,2024-09-01,0.1275,0.1855,0.1275,0.1463,106605050.8
archivo_combinado.csv,2024-09-02,0.1463,0.1488,0.1227,0.1298,83211246.0
archivo_combinado.csv,2024-09-03,0.1296,0.1765,0.128,0.1621,106605050.8
archivo_combinado.csv,2024-09-04,0.162,0.1682,0.1402,0.1678,106605050.8
archivo_combinado.csv,2024-09-05,0.1678,0.178,0.1551,0.1628,106605050.8
archivo_combinado.csv,2024-09-06,0.1628,0.1628,0.144,0.1486,52719659.0
archivo_combinado.csv,2024-09-07,0.1486,0.1598,0.1372,0.1507,54550708.0
archivo_combinado.csv,2024-09-08,0.1507,0.156,0.14,0.1453,60084710.0
archivo_combinado.csv,2024-09-09,0.1453,0.1475,0.1415,0.1457,35279216.0
archivo_combinado.csv,2024-09-10,0.1457,0.1475,0.135,0.1368,34278789.0
archivo_combinado.csv,2024-09-11,0.1369,0.1393,0.1275,0.1296,37260815.0
archivo_combinado.csv,2024-09-12,0.1295,0.1393,0.125,0.1281,32780268.0
archivo_combinado.csv,2024-09-13,0.1281,0.1311,0.1217,0.1254,30352395.0
archivo_combinado.csv,2024-09-14,0.1252,0.1609,0.1237,0.1452,106605050.8
archivo_combinado.csv,2024-09-15,0.1453,0.146,0.1305,0.1318,62322173.0
archivo_combinado.csv,2024-09-16,0.1317,0.1343,0.1221,0.1253,31792816.0
archivo_combinado.csv,2024-09-17,0.1254,0.1435,0.1235,0.1298,61535405.0
archivo_combinado.csv,2024-09-18,0.1298,0.1324,0.1229,0.1317,24879164.0
archivo_combinado.csv,2024-09-01,0.05,0.0501,0.0476,0.048,84311747.0
archivo_combinado.csv,2024-09-02,0.0479,0.0511,0.0479,0.0509,82521273.0
archivo_combinado.csv,2024-09-03,0.0509,0.0517,0.0487,0.049,98608938.0
archivo_combinado.csv,2024-09-04,0.0489,0.0507,0.0471,0.0494,106605050.8
archivo_combinado.csv,2024-09-05,0.0494,0.0498,0.0476,0.0481,95410470.0
archivo_combinado.csv,2024-09-06,0.0481,0.0489,0.0457,0.0471,106605050.8
archivo_combinado.csv,2024-09-07,0.0472,0.0491,0.0469,0.0486,56298564.0
archivo_combinado.csv,2024-09-08,0.0485,0.05,0.0481,0.0495,59089454.0
archivo_combinado.csv,2024-09-09,0.0495,0.0517,0.0494,0.0511,84534516.0
archivo_combinado.csv,2024-09-10,0.0511,0.0512,0.05,0.051,89065636.0
archivo_combinado.csv,2024-09-11,0.0509,0.051,0.0486,0.05,106605050.8
archivo_combinado.csv,2024-09-12,0.05,0.051,0.0498,0.0506,101959232.0
archivo_combinado.csv,2024-09-13,0.0506,0.0529,0.0503,0.0523,105920649.0
archivo_combinado.csv,2024-09-14,0.0524,0.0529,0.0512,0.0516,54947743.0
archivo_combinado.csv,2024-09-15,0.0516,0.052,0.0496,0.05,69198791.0
archivo_combinado.csv,2024-09-16,0.05,0.0507,0.0491,0.0494,83047489.0
archivo_combinado.csv,2024-09-17,0.0494,0.0508,0.0488,0.0498,103838312.0
archivo_combinado.csv,2024-09-18,0.0498,0.0508,0.0484,0.0508,106540074.0
archivo_combinado.csv,2024-09-01,0.1756,0.1933,0.1665,0.1677,22442394.0
archivo_combinado.csv,2024-09-02,0.1677,0.1725,0.1643,0.172,6896020.0
archivo_combinado.csv,2024-09-03,0.172,0.1738,0.1642,0.1645,3541864.0
archivo_combinado.csv,2024-09-04,0.1645,0.1697,0.1568,0.1676,3078710.0
archivo_combinado.csv,2024-09-05,0.1674,0.1699,0.1629,0.1649,3062446.0
archivo_combinado.csv,2024-09-06,0.1647,0.1699,0.1586,0.1623,3381495.0
archivo_combinado.csv,2024-09-07,0.1623,0.1666,0.1611,0.1648,1905523.0
archivo_combinado.csv,2024-09-08,0.1648,0.168,0.163,0.1673,1741311.0
archivo_combinado.csv,2024-09-09,0.1673,0.1734,0.1666,0.1734,2262305.0
archivo_combinado.csv,2024-09-10,0.1734,0.1767,0.1703,0.1758,2789990.0
archivo_combinado.csv,2024-09-11,0.1756,0.1761,0.1703,0.1756,2488880.0
archivo_combinado.csv,2024-09-12,0.1754,0.1784,0.1748,0.1771,2245564.0
archivo_combinado.csv,2024-09-13,0.1772,0.1813,0.1757,0.1809,2527712.0
archivo_combinado.csv,2024-09-14,0.1807,0.1816,0.1784,0.1803,2098139.0
archivo_combinado.csv,2024-09-15,0.1803,0.1824,0.1727,0.1731,3407835.0
archivo_combinado.csv,2024-09-16,0.1731,0.1772,0.1687,0.17,3585433.0
archivo_combinado.csv,2024-09-17,0.17,0.1776,0.1696,0.1769,2481570.0
archivo_combinado.csv,2024-09-18,0.177,0.2127,0.1765,0.1853,27102973.0
archivo_combinado.csv,2024-09-01,0.001595,0.00161,0.00151,0.001528,106605050.8
archivo_combinado.csv,2024-09-02,0.001529,0.00162,0.001527,0.001606,106605050.8
archivo_combinado.csv,2024-09-03,0.001606,0.001629,0.001531,0.001549,106605050.8
archivo_combinado.csv,2024-09-04,0.00155,0.001588,0.001466,0.001558,106605050.8
archivo_combinado.csv,2024-09-05,0.001557,0.001567,0.001477,0.001511,106605050.8
archivo_combinado.csv,2024-09-06,0.00151,0.001532,0.001392,0.001447,106605050.8
archivo_combinado.csv,2024-09-07,0.001446,0.001505,0.001433,0.001475,106605050.8
archivo_combinado.csv,2024-09-08,0.001476,0.001578,0.001472,0.001544,106605050.8
archivo_combinado.csv,2024-09-09,0.001546,0.001614,0.001533,0.001588,106605050.8
archivo_combinado.csv,2024-09-10,0.00159,0.001732,0.001561,0.001709,106605050.8
archivo_combinado.csv,2024-09-11,0.001709,0.001715,0.001557,0.001601,106605050.8
archivo_combinado.csv,2024-09-12,0.0016,0.001651,0.001595,0.00162,106605050.8
archivo_combinado.csv,2024-09-13,0.001621,0.001658,0.00159,0.001644,106605050.8
archivo_combinado.csv,2024-09-14,0.001644,0.00169,0.001604,0.001631,106605050.8
